phenocode,description,AFR_NMF_comp1,AFR_NMF_comp2,AFR_NMF_comp3,AFR_NMF_comp4,AFR_NMF_comp5,AFR_NMF_comp6,AFR_NMF_comp7,AFR_NMF_comp8,AFR_NMF_comp9,AFR_NMF_comp10
30610,Alkaline phosphatase,0.0,0.0,0.0,0.0,0.0,0.0023244496,0.00046969036,5.3930908e-05,0.0,3.063243
30620,Alanine aminotransferase,0.0,0.0,0.0,0.0733712,0.010302788,0.0,0.37036848,0.0,0.0,0.0
30670,Urea,0.0,0.3261008,0.0031591617,0.0,0.0,0.0,0.0,0.0,0.0,0.02513744
30720,Cystatin C,0.063379906,0.0,0.028887268,0.0,0.0,0.0,0.0,0.0,1.986573,0.34691456
30690,Cholesterol,0.0,0.012953887,0.0,0.0062433025,0.0,0.20593399,0.006131388,0.028803958,0.0,0.0
30700,Creatinine,0.0,0.073086806,0.0,0.0,0.0,0.00273897,0.0,0.070355944,2.015709,0.0
30730,Gamma glutamyltransferase,0.0,0.0,0.0,0.39215735,0.0,0.0,0.0,0.0,0.062446307,0.0
30870,Triglycerides,0.0,0.0,0.0,0.0,0.118645504,3.02708e-05,0.0,0.0,0.027303621,0.0
30880,Urate,2.4979928,0.0012868339,0.0,0.0,0.0,0.0,0.0,0.00012824102,0.0,0.0
30710,C-reactive protein,0.0,0.0001761827,0.17436716,0.0,0.0,0.0038689135,0.0,0.00010474493,0.0,0.0
30780,LDL direct,0.0,0.0017439929,0.0048417235,0.0,0.0009383303,0.20973486,0.0,0.011975103,0.041752152,0.021429962
30650,Aspartate aminotransferase,0.0,0.0,0.0,0.0,0.0,0.0027366308,0.42627028,0.096657135,0.20038232,0.0
30840,Total bilirubin,0.0,0.0,1.983134e-06,0.0,0.00049703947,0.0,0.0,1.3103856,0.0,0.00381917
30640,Apolipoprotein B,0.11424893,0.0,0.0069998656,0.0,0.0041897167,0.199177,0.0,0.0,0.0,0.0
