phenocode,description,AFR_SVD_PC1,AFR_SVD_PC2,AFR_SVD_PC3,AFR_SVD_PC4,AFR_SVD_PC5,AFR_SVD_PC6,AFR_SVD_PC7,AFR_SVD_PC8,AFR_SVD_PC9,AFR_SVD_PC10
30610,Alkaline phosphatase,0.5649466,-0.93992734,0.5234466,-1.1595834,1.0831549,-1.8702456,0.33829796,-0.62298733,-0.6296736,0.113332756
30620,Alanine aminotransferase,0.9661593,-1.0458832,2.052923,0.49205768,-0.52151215,0.019843379,0.15814759,0.27280226,-0.06749388,0.165568
30670,Urea,0.2226032,-1.2637147,-0.95441604,0.91909814,-1.1708131,-0.5975184,-1.079388,-0.7630699,-0.219726,1.1079531
30720,Cystatin C,0.6224741,-1.8449514,-1.125748,0.34701195,0.6394772,-0.31093803,0.7292177,0.4064194,0.531595,-0.2945694
30690,Cholesterol,2.4573436,1.2260504,-0.29454592,0.35096842,-0.05917209,-0.2888735,-0.18818371,0.02245294,-0.015692383,-0.12701258
30700,Creatinine,0.3185004,-1.3946695,-1.3253992,1.3821509,-0.07552623,-0.34613502,0.47931847,0.10195927,0.6608182,-0.42140678
30730,Gamma glutamyltransferase,1.2185297,-1.1305604,1.1240184,-0.47753444,0.059331246,0.49791285,-0.7821499,-1.2725599,0.991452,-0.83294296
30870,Triglycerides,1.5748965,-0.49997377,-0.11764571,-0.8086386,-0.24452701,1.0595851,1.4802505,-0.6063427,0.112345375,1.0823437
30880,Urate,0.90851843,-1.73192,-0.63536745,0.025902279,0.31676453,1.1027282,-0.36795893,0.044784557,-1.6089003,-0.61824536
30710,C-reactive protein,0.77741706,-1.111592,-0.32308277,-1.5591302,0.56624943,0.22646205,-1.0878258,1.2567729,0.60354733,0.6832564
30780,LDL direct,2.5608604,1.1914029,-0.37977436,0.24281216,0.03452748,-0.26130447,-0.13508852,0.11863871,-0.022477396,-0.09358721
30650,Aspartate aminotransferase,0.74355966,-0.8969702,1.9139404,1.1464505,-0.32222444,-0.29055637,0.2049063,0.8860397,-0.14697054,0.12754208
30840,Total bilirubin,-0.19273993,0.41817024,0.42569277,1.648202,2.1564682,0.5391972,-0.35877118,-0.39352453,0.088728204,0.7325106
30640,Apolipoprotein B,2.5655894,1.0531049,-0.3681463,0.1340099,0.02946277,-0.10919266,-0.12532587,0.14303888,-0.0941517,-0.08342017
